scaling,rep,omega,treelen
yang,0,0.1,0.793037810832
neutral,0,0.1,0.260321757068
yang,1,0.1,0.780780560988
neutral,1,0.1,0.253550430928
yang,2,0.1,0.818279428875
neutral,2,0.1,0.317544183034
yang,3,0.1,0.815434492715
neutral,3,0.1,0.245115383632
yang,4,0.1,0.801410753712
neutral,4,0.1,0.250584580048
yang,5,0.1,0.798306889118
neutral,5,0.1,0.248135207295
yang,6,0.1,0.839766405523
neutral,6,0.1,0.263133972759
yang,7,0.1,0.730091737077
neutral,7,0.1,0.254542842658
yang,8,0.1,0.779617198492
neutral,8,0.1,0.289488221849
yang,9,0.1,0.791243175395
neutral,9,0.1,0.255690133109
yang,10,0.1,0.894747586297
neutral,10,0.1,0.278356553618
yang,11,0.1,0.856830406297
neutral,11,0.1,0.248241104886
yang,12,0.1,0.807079086895
neutral,12,0.1,0.26541240348
yang,13,0.1,0.855465725503
neutral,13,0.1,0.279600637615
yang,14,0.1,0.852955342587
neutral,14,0.1,0.280728568871
yang,15,0.1,0.709151436164
neutral,15,0.1,0.281271260069
yang,16,0.1,0.805055080542
neutral,16,0.1,0.28894498762
yang,17,0.1,0.729573973074
neutral,17,0.1,0.255335446925
yang,18,0.1,0.782659230202
neutral,18,0.1,0.235400696491
yang,19,0.1,0.839364909107
neutral,19,0.1,0.316836898578
yang,20,0.1,0.827079364048
neutral,20,0.1,0.262030600485
yang,21,0.1,0.805056242901
neutral,21,0.1,0.260458798462
yang,22,0.1,0.881345210502
neutral,22,0.1,0.251518744496
yang,23,0.1,0.790620331598
neutral,23,0.1,0.255758928588
yang,24,0.1,0.837876504492
neutral,24,0.1,0.326300822165
yang,25,0.1,0.733241886481
neutral,25,0.1,0.263473888965
yang,26,0.1,0.879193801434
neutral,26,0.1,0.251284895559
yang,27,0.1,0.772550205211
neutral,27,0.1,0.265346891072
yang,28,0.1,0.823102445849
neutral,28,0.1,0.270711405433
yang,29,0.1,0.770212854922
neutral,29,0.1,0.201695260882
yang,30,0.1,0.891665026731
neutral,30,0.1,0.267114587574
yang,31,0.1,0.777975780691
neutral,31,0.1,0.289758558113
yang,32,0.1,0.793836479879
neutral,32,0.1,0.275359205778
yang,33,0.1,0.782423497468
neutral,33,0.1,0.265964493901
yang,34,0.1,0.776331047153
neutral,34,0.1,0.265489475009
yang,35,0.1,0.845884246926
neutral,35,0.1,0.243595428295
yang,36,0.1,0.909234380406
neutral,36,0.1,0.252535916891
yang,37,0.1,0.769390750182
neutral,37,0.1,0.243314805462
yang,38,0.1,0.745149448438
neutral,38,0.1,0.252767139611
yang,39,0.1,0.85576652835
neutral,39,0.1,0.268203340378
yang,40,0.1,0.822515802062
neutral,40,0.1,0.222496621574
yang,41,0.1,0.899420469739
neutral,41,0.1,0.257532908489
yang,42,0.1,0.85568372516
neutral,42,0.1,0.237983138724
yang,43,0.1,0.778628788358
neutral,43,0.1,0.278686915974
yang,44,0.1,0.825086558661
neutral,44,0.1,0.220822456296
yang,45,0.1,0.824562547175
neutral,45,0.1,0.255405754068
yang,46,0.1,0.779729384894
neutral,46,0.1,0.269973337582
yang,47,0.1,0.853680168657
neutral,47,0.1,0.257650190462
yang,48,0.1,0.78505252489
neutral,48,0.1,0.292173972551
yang,49,0.1,0.727531503121
neutral,49,0.1,0.279885631954
yang,0,0.2,0.877803789637
neutral,0,0.2,0.382331082098
yang,1,0.2,0.863183909397
neutral,1,0.2,0.320293455233
yang,2,0.2,0.749063413196
neutral,2,0.2,0.335558417538
yang,3,0.2,0.693202425203
neutral,3,0.2,0.317012851878
yang,4,0.2,0.83221356942
neutral,4,0.2,0.349523039707
yang,5,0.2,0.810218847673
neutral,5,0.2,0.334457118926
yang,6,0.2,0.791847217071
neutral,6,0.2,0.308240033924
yang,7,0.2,0.785476861369
neutral,7,0.2,0.321258714794
yang,8,0.2,0.777611926257
neutral,8,0.2,0.266421576682
yang,9,0.2,0.756956466262
neutral,9,0.2,0.311968495457
yang,10,0.2,0.820767941906
neutral,10,0.2,0.361302824438
yang,11,0.2,0.836107984029
neutral,11,0.2,0.340467510397
yang,12,0.2,0.756106750102
neutral,12,0.2,0.352943742091
yang,13,0.2,0.752087606575
neutral,13,0.2,0.315663258275
yang,14,0.2,0.797171390285
neutral,14,0.2,0.354059349173
yang,15,0.2,0.841817051133
neutral,15,0.2,0.337643945262
yang,16,0.2,0.789031735328
neutral,16,0.2,0.359283732318
yang,17,0.2,0.813163134253
neutral,17,0.2,0.296631178514
yang,18,0.2,0.813414836702
neutral,18,0.2,0.326850497632
yang,19,0.2,0.814639671758
neutral,19,0.2,0.33818220501
yang,20,0.2,0.754860600292
neutral,20,0.2,0.308178887232
yang,21,0.2,0.828943225991
neutral,21,0.2,0.32211092122
yang,22,0.2,0.77486014624
neutral,22,0.2,0.360384593684
yang,23,0.2,0.826181140868
neutral,23,0.2,0.304804266975
yang,24,0.2,0.863095369621
neutral,24,0.2,0.365661365505
yang,25,0.2,0.783731087537
neutral,25,0.2,0.323563920773
yang,26,0.2,0.805335015104
neutral,26,0.2,0.328309634204
yang,27,0.2,0.826225610006
neutral,27,0.2,0.353755826629
yang,28,0.2,0.833573315587
neutral,28,0.2,0.333052737142
yang,29,0.2,0.841533038307
neutral,29,0.2,0.393785875475
yang,30,0.2,0.829762115478
neutral,30,0.2,0.303447797492
yang,31,0.2,0.799590913215
neutral,31,0.2,0.286436161323
yang,32,0.2,0.750868654161
neutral,32,0.2,0.32163953377
yang,33,0.2,0.860040535811
neutral,33,0.2,0.29826387029
yang,34,0.2,0.758024480966
neutral,34,0.2,0.290173910194
yang,35,0.2,0.848097857546
neutral,35,0.2,0.286485000818
yang,36,0.2,0.808996521707
neutral,36,0.2,0.366206823268
yang,37,0.2,0.904481417996
neutral,37,0.2,0.326320376538
yang,38,0.2,0.810094716232
neutral,38,0.2,0.376704509572
yang,39,0.2,0.78617716675
neutral,39,0.2,0.280703661834
yang,40,0.2,0.838500081356
neutral,40,0.2,0.306071417877
yang,41,0.2,0.84950170508
neutral,41,0.2,0.329089643327
yang,42,0.2,0.741657062679
neutral,42,0.2,0.298571841717
yang,43,0.2,0.839101198487
neutral,43,0.2,0.350910803761
yang,44,0.2,0.784208047568
neutral,44,0.2,0.317343693633
yang,45,0.2,0.756536577948
neutral,45,0.2,0.319222359739
yang,46,0.2,0.733958526919
neutral,46,0.2,0.353452157689
yang,47,0.2,0.761070083297
neutral,47,0.2,0.393420174538
yang,48,0.2,0.849071432476
neutral,48,0.2,0.329275274897
yang,49,0.2,0.784450973024
neutral,49,0.2,0.297438075714
yang,0,0.3,0.796706879905
neutral,0,0.3,0.386224492402
yang,1,0.3,0.7861337801
neutral,1,0.3,0.353169487082
yang,2,0.3,0.834214477608
neutral,2,0.3,0.394278178508
yang,3,0.3,0.820411039338
neutral,3,0.3,0.354769922303
yang,4,0.3,0.81577066211
neutral,4,0.3,0.357188224987
yang,5,0.3,0.803718113688
neutral,5,0.3,0.382804505786
yang,6,0.3,0.846976204987
neutral,6,0.3,0.408999370312
yang,7,0.3,0.893826619472
neutral,7,0.3,0.417505475598
yang,8,0.3,0.828337097423
neutral,8,0.3,0.452197461563
yang,9,0.3,0.767591736016
neutral,9,0.3,0.373088591017
yang,10,0.3,0.846321777425
neutral,10,0.3,0.425129858807
yang,11,0.3,0.841910080851
neutral,11,0.3,0.353630643491
yang,12,0.3,0.82945611965
neutral,12,0.3,0.352944874784
yang,13,0.3,0.771957914187
neutral,13,0.3,0.386433279165
yang,14,0.3,0.831937653905
neutral,14,0.3,0.375379371456
yang,15,0.3,0.81228522
neutral,15,0.3,0.352999378713
yang,16,0.3,0.847629376995
neutral,16,0.3,0.389651541599
yang,17,0.3,0.793065123438
neutral,17,0.3,0.406477142546
yang,18,0.3,0.794967591782
neutral,18,0.3,0.388743812556
yang,19,0.3,0.883702022524
neutral,19,0.3,0.383273942527
yang,20,0.3,0.842987344838
neutral,20,0.3,0.392703492564
yang,21,0.3,0.852880585867
neutral,21,0.3,0.414627331098
yang,22,0.3,0.80215901966
neutral,22,0.3,0.392349205381
yang,23,0.3,0.806305410682
neutral,23,0.3,0.363022072405
yang,24,0.3,0.834302380464
neutral,24,0.3,0.370088375523
yang,25,0.3,0.74191906324
neutral,25,0.3,0.4026960596
yang,26,0.3,0.76262555819
neutral,26,0.3,0.362603406956
yang,27,0.3,0.802992718188
neutral,27,0.3,0.366566396433
yang,28,0.3,0.867280322747
neutral,28,0.3,0.427347172171
yang,29,0.3,0.75917007613
neutral,29,0.3,0.415541861988
yang,30,0.3,0.84473706697
neutral,30,0.3,0.399706774502
yang,31,0.3,0.769328074691
neutral,31,0.3,0.37303245201
yang,32,0.3,0.79613953669
neutral,32,0.3,0.389801635544
yang,33,0.3,0.820623017108
neutral,33,0.3,0.372219480888
yang,34,0.3,0.865139030926
neutral,34,0.3,0.406580031493
yang,35,0.3,0.808980477701
neutral,35,0.3,0.382973193
yang,36,0.3,0.824353566884
neutral,36,0.3,0.370442718619
yang,37,0.3,0.831817924228
neutral,37,0.3,0.39981967529
yang,38,0.3,0.858863275907
neutral,38,0.3,0.361134951884
yang,39,0.3,0.803418840558
neutral,39,0.3,0.359952969264
yang,40,0.3,0.772641356967
neutral,40,0.3,0.349512082176
yang,41,0.3,0.888052778557
neutral,41,0.3,0.385297744255
yang,42,0.3,0.834563677289
neutral,42,0.3,0.415336601315
yang,43,0.3,0.826704898281
neutral,43,0.3,0.35899238479
yang,44,0.3,0.717575614716
neutral,44,0.3,0.423131252451
yang,45,0.3,0.738876226351
neutral,45,0.3,0.369824714527
yang,46,0.3,0.741805482112
neutral,46,0.3,0.424845899885
yang,47,0.3,0.83216927402
neutral,47,0.3,0.395308732329
yang,48,0.3,0.82597435923
neutral,48,0.3,0.435045920923
yang,49,0.3,0.815704018606
neutral,49,0.3,0.350494744102
yang,0,0.4,0.799792619355
neutral,0,0.4,0.438755600714
yang,1,0.4,0.81380779197
neutral,1,0.4,0.456411116931
yang,2,0.4,0.769784825555
neutral,2,0.4,0.44927137979
yang,3,0.4,0.820492483314
neutral,3,0.4,0.432142210231
yang,4,0.4,0.794937313596
neutral,4,0.4,0.436392881127
yang,5,0.4,0.782615130255
neutral,5,0.4,0.468174029262
yang,6,0.4,0.809757570972
neutral,6,0.4,0.423156979359
yang,7,0.4,0.871810935564
neutral,7,0.4,0.415694065731
yang,8,0.4,0.790716712097
neutral,8,0.4,0.442416181029
yang,9,0.4,0.826469703736
neutral,9,0.4,0.429490629628
yang,10,0.4,0.84195100493
neutral,10,0.4,0.473259552778
yang,11,0.4,0.817078989596
neutral,11,0.4,0.443467163161
yang,12,0.4,0.805258649354
neutral,12,0.4,0.435778277705
yang,13,0.4,0.849747568884
neutral,13,0.4,0.504456158161
yang,14,0.4,0.777146187998
neutral,14,0.4,0.474795164985
yang,15,0.4,0.74802325091
neutral,15,0.4,0.386564101274
yang,16,0.4,0.793383448642
neutral,16,0.4,0.3919960162
yang,17,0.4,0.789050068185
neutral,17,0.4,0.402243428962
yang,18,0.4,0.798191388995
neutral,18,0.4,0.456370157672
yang,19,0.4,0.730788260151
neutral,19,0.4,0.458987094598
yang,20,0.4,0.833877455211
neutral,20,0.4,0.46313205082
yang,21,0.4,0.825854913711
neutral,21,0.4,0.444712189447
yang,22,0.4,0.810151611085
neutral,22,0.4,0.45592791074
yang,23,0.4,0.810287451986
neutral,23,0.4,0.433401545446
yang,24,0.4,0.794014713528
neutral,24,0.4,0.413482990532
yang,25,0.4,0.770356205581
neutral,25,0.4,0.419255853277
yang,26,0.4,0.763177975414
neutral,26,0.4,0.476909347141
yang,27,0.4,0.82492629785
neutral,27,0.4,0.445052767027
yang,28,0.4,0.851707062
neutral,28,0.4,0.419985722485
yang,29,0.4,0.834395852771
neutral,29,0.4,0.486580232225
yang,30,0.4,0.829497082823
neutral,30,0.4,0.418555085504
yang,31,0.4,0.79869200482
neutral,31,0.4,0.477359554919
yang,32,0.4,0.783812269881
neutral,32,0.4,0.438842480442
yang,33,0.4,0.841841342211
neutral,33,0.4,0.415978138074
yang,34,0.4,0.849263789582
neutral,34,0.4,0.41057352388
yang,35,0.4,0.832595193525
neutral,35,0.4,0.408331736129
yang,36,0.4,0.738033939634
neutral,36,0.4,0.45891626241
yang,37,0.4,0.801354833445
neutral,37,0.4,0.462462940823
yang,38,0.4,0.807686766698
neutral,38,0.4,0.444432907772
yang,39,0.4,0.818197344437
neutral,39,0.4,0.415840431991
yang,40,0.4,0.810548185716
neutral,40,0.4,0.444631416403
yang,41,0.4,0.777003201444
neutral,41,0.4,0.414499648427
yang,42,0.4,0.801759243804
neutral,42,0.4,0.394832445008
yang,43,0.4,0.788526780232
neutral,43,0.4,0.452843702097
yang,44,0.4,0.874943693426
neutral,44,0.4,0.479409137238
yang,45,0.4,0.786430886124
neutral,45,0.4,0.401301877203
yang,46,0.4,0.792168179469
neutral,46,0.4,0.443617075793
yang,47,0.4,0.791117574462
neutral,47,0.4,0.402446581734
yang,48,0.4,0.739121103705
neutral,48,0.4,0.417108943034
yang,49,0.4,0.796173627364
neutral,49,0.4,0.443845988433
yang,0,0.5,0.771618276242
neutral,0,0.5,0.533948396416
yang,1,0.5,0.788651870725
neutral,1,0.5,0.501260112002
yang,2,0.5,0.815841369454
neutral,2,0.5,0.557069193248
yang,3,0.5,0.777308369711
neutral,3,0.5,0.518162846736
yang,4,0.5,0.77363280445
neutral,4,0.5,0.506742426147
yang,5,0.5,0.875414012291
neutral,5,0.5,0.490746077386
yang,6,0.5,0.804274179773
neutral,6,0.5,0.499097378087
yang,7,0.5,0.837901351554
neutral,7,0.5,0.475331974059
yang,8,0.5,0.816633169996
neutral,8,0.5,0.541454014699
yang,9,0.5,0.744120632839
neutral,9,0.5,0.500496035194
yang,10,0.5,0.87519434866
neutral,10,0.5,0.503118480437
yang,11,0.5,0.793181685938
neutral,11,0.5,0.50105383214
yang,12,0.5,0.819219005955
neutral,12,0.5,0.548552182216
yang,13,0.5,0.802362246745
neutral,13,0.5,0.507024123484
yang,14,0.5,0.807753960669
neutral,14,0.5,0.54541106027
yang,15,0.5,0.800739992647
neutral,15,0.5,0.513658587248
yang,16,0.5,0.78899721765
neutral,16,0.5,0.52565938169
yang,17,0.5,0.769923590703
neutral,17,0.5,0.489719954173
yang,18,0.5,0.82222818126
neutral,18,0.5,0.506337014636
yang,19,0.5,0.835428871839
neutral,19,0.5,0.50059591843
yang,20,0.5,0.820878105334
neutral,20,0.5,0.51030849679
yang,21,0.5,0.790170498435
neutral,21,0.5,0.515373470985
yang,22,0.5,0.806448931284
neutral,22,0.5,0.541542610506
yang,23,0.5,0.751007202468
neutral,23,0.5,0.498884519349
yang,24,0.5,0.816566055133
neutral,24,0.5,0.520146463876
yang,25,0.5,0.81026951951
neutral,25,0.5,0.49628264473
yang,26,0.5,0.749648245966
neutral,26,0.5,0.555422051268
yang,27,0.5,0.845320838289
neutral,27,0.5,0.492750010339
yang,28,0.5,0.78445549952
neutral,28,0.5,0.54225110411
yang,29,0.5,0.800861514402
neutral,29,0.5,0.518779314482
yang,30,0.5,0.801993251253
neutral,30,0.5,0.511320614701
yang,31,0.5,0.828549437377
neutral,31,0.5,0.523658530793
yang,32,0.5,0.819661653782
neutral,32,0.5,0.49281478833
yang,33,0.5,0.771058373651
neutral,33,0.5,0.520475045784
yang,34,0.5,0.783171208454
neutral,34,0.5,0.534737050574
yang,35,0.5,0.79558983918
neutral,35,0.5,0.53058768839
yang,36,0.5,0.775202388386
neutral,36,0.5,0.470514786804
yang,37,0.5,0.812124032014
neutral,37,0.5,0.487078367151
yang,38,0.5,0.762473516309
neutral,38,0.5,0.480013715918
yang,39,0.5,0.763203793131
neutral,39,0.5,0.480101869812
yang,40,0.5,0.79712861441
neutral,40,0.5,0.460318653459
yang,41,0.5,0.81813932797
neutral,41,0.5,0.544717772315
yang,42,0.5,0.749165193371
neutral,42,0.5,0.534352852973
yang,43,0.5,0.731705795333
neutral,43,0.5,0.437808179615
yang,44,0.5,0.83805430988
neutral,44,0.5,0.540344157506
yang,45,0.5,0.847825192573
neutral,45,0.5,0.545939466052
yang,46,0.5,0.792479532191
neutral,46,0.5,0.512105783388
yang,47,0.5,0.887397229474
neutral,47,0.5,0.465768669531
yang,48,0.5,0.761006581646
neutral,48,0.5,0.441407592075
yang,49,0.5,0.856958305975
neutral,49,0.5,0.488794192587
yang,0,0.6,0.771528122227
neutral,0,0.6,0.611096619535
yang,1,0.6,0.783411637392
neutral,1,0.6,0.483322860747
yang,2,0.6,0.778727645444
neutral,2,0.6,0.610449932706
yang,3,0.6,0.800305860242
neutral,3,0.6,0.605709714722
yang,4,0.6,0.861773441211
neutral,4,0.6,0.51332213364
yang,5,0.6,0.804085220957
neutral,5,0.6,0.595830279363
yang,6,0.6,0.810751621271
neutral,6,0.6,0.637478562516
yang,7,0.6,0.867888657871
neutral,7,0.6,0.646255968169
yang,8,0.6,0.775286016521
neutral,8,0.6,0.543049438401
yang,9,0.6,0.826402278338
neutral,9,0.6,0.601289452977
yang,10,0.6,0.856784588656
neutral,10,0.6,0.566056738149
yang,11,0.6,0.789728101578
neutral,11,0.6,0.5831433549
yang,12,0.6,0.74991281958
neutral,12,0.6,0.540724835858
yang,13,0.6,0.801381585619
neutral,13,0.6,0.544663823287
yang,14,0.6,0.809835498706
neutral,14,0.6,0.611512613895
yang,15,0.6,0.82947218825
neutral,15,0.6,0.597194870737
yang,16,0.6,0.849583002229
neutral,16,0.6,0.535812906388
yang,17,0.6,0.782669989311
neutral,17,0.6,0.585692846744
yang,18,0.6,0.861706016421
neutral,18,0.6,0.554978423811
yang,19,0.6,0.871726558855
neutral,19,0.6,0.563294497795
yang,20,0.6,0.819402239364
neutral,20,0.6,0.542708403402
yang,21,0.6,0.803859247635
neutral,21,0.6,0.564791325052
yang,22,0.6,0.769425639918
neutral,22,0.6,0.598123117592
yang,23,0.6,0.802113259492
neutral,23,0.6,0.584609660036
yang,24,0.6,0.764303377914
neutral,24,0.6,0.562588784235
yang,25,0.6,0.929167924736
neutral,25,0.6,0.570982619353
yang,26,0.6,0.81524336972
neutral,26,0.6,0.625640682681
yang,27,0.6,0.807256515432
neutral,27,0.6,0.568413208607
yang,28,0.6,0.869149358032
neutral,28,0.6,0.577101489554
yang,29,0.6,0.757639395001
neutral,29,0.6,0.620479923613
yang,30,0.6,0.827277499636
neutral,30,0.6,0.604645298906
yang,31,0.6,0.792291212807
neutral,31,0.6,0.546102984739
yang,32,0.6,0.844454617302
neutral,32,0.6,0.546099600254
yang,33,0.6,0.8173005074
neutral,33,0.6,0.533555684402
yang,34,0.6,0.817372892906
neutral,34,0.6,0.542504633174
yang,35,0.6,0.789221669708
neutral,35,0.6,0.58806245349
yang,36,0.6,0.847158374224
neutral,36,0.6,0.562870550461
yang,37,0.6,0.835694364895
neutral,37,0.6,0.619719483951
yang,38,0.6,0.759485307039
neutral,38,0.6,0.583727192093
yang,39,0.6,0.769182613409
neutral,39,0.6,0.584308839137
yang,40,0.6,0.919736098609
neutral,40,0.6,0.618673207683
yang,41,0.6,0.819007258911
neutral,41,0.6,0.595334295919
yang,42,0.6,0.800742211103
neutral,42,0.6,0.613485983811
yang,43,0.6,0.880571285209
neutral,43,0.6,0.541572278158
yang,44,0.6,0.745591668319
neutral,44,0.6,0.55635471956
yang,45,0.6,0.82282560773
neutral,45,0.6,0.582352888599
yang,46,0.6,0.884795590672
neutral,46,0.6,0.574150748767
yang,47,0.6,0.800283342416
neutral,47,0.6,0.577884497184
yang,48,0.6,0.841547029272
neutral,48,0.6,0.55058593839
yang,49,0.6,0.817019387931
neutral,49,0.6,0.599102565371
yang,0,0.7,0.837688640492
neutral,0,0.7,0.617455600051
yang,1,0.7,0.855392913945
neutral,1,0.7,0.565129086531
yang,2,0.7,0.896692314185
neutral,2,0.7,0.594936997055
yang,3,0.7,0.84076443028
neutral,3,0.7,0.607619865627
yang,4,0.7,0.756129688683
neutral,4,0.7,0.625584341495
yang,5,0.7,0.737088578045
neutral,5,0.7,0.722165802927
yang,6,0.7,0.800653060023
neutral,6,0.7,0.637841304256
yang,7,0.7,0.787845061037
neutral,7,0.7,0.639348639023
yang,8,0.7,0.705977684138
neutral,8,0.7,0.706051434194
yang,9,0.7,0.849027888344
neutral,9,0.7,0.625580845189
yang,10,0.7,0.769587457435
neutral,10,0.7,0.6142839103
yang,11,0.7,0.772377852835
neutral,11,0.7,0.612207371021
yang,12,0.7,0.776558191559
neutral,12,0.7,0.645544356356
yang,13,0.7,0.82520011822
neutral,13,0.7,0.62961337799
yang,14,0.7,0.817335650691
neutral,14,0.7,0.588691352428
yang,15,0.7,0.794860961548
neutral,15,0.7,0.609557429317
yang,16,0.7,0.786494314281
neutral,16,0.7,0.620902198603
yang,17,0.7,0.817603441777
neutral,17,0.7,0.565862387883
yang,18,0.7,0.760394387795
neutral,18,0.7,0.652076324471
yang,19,0.7,0.845898950247
neutral,19,0.7,0.60475798963
yang,20,0.7,0.864814559739
neutral,20,0.7,0.590591992735
yang,21,0.7,0.858174306965
neutral,21,0.7,0.673489785492
yang,22,0.7,0.740982737451
neutral,22,0.7,0.579228396871
yang,23,0.7,0.751758917314
neutral,23,0.7,0.646665545814
yang,24,0.7,0.785643610759
neutral,24,0.7,0.614959140327
yang,25,0.7,0.800750354518
neutral,25,0.7,0.643800701275
yang,26,0.7,0.837779624396
neutral,26,0.7,0.629390661049
yang,27,0.7,0.792707583619
neutral,27,0.7,0.619128073782
yang,28,0.7,0.784566965439
neutral,28,0.7,0.635882636547
yang,29,0.7,0.831303746801
neutral,29,0.7,0.620246967091
yang,30,0.7,0.81846836328
neutral,30,0.7,0.659588206383
